Posted At,Job Title,Company Link,Company Location,Job Type,Job Salary,Job Experience Level,Job Education,Job Description
Active 3 days ago·,Administrative Assistant,https://ca.indeed.com/cmp/A-Bread-Affair?campaignid=mobvjcmp&from=mobviewjob&tk=1hs1p9asdln1u800&fromjk=b47a90924d76c507,"A Bread Affair in Langley, BC","Permanent
Part-time
Full-time",$24–$26 an hour,No experience required,No specific education required
Active 3 days ago·,Office Assistant,https://ca.indeed.com/cmp/A-Bread-Affair?campaignid=mobvjcmp&from=mobviewjob&tk=1hs1p9asdln1u800&fromjk=b47a90924d76c507,"A Bread Affair in Langley, BC","Permanent
Part-time
Full-time",$24–$26 an hour,No experience required,No specific education required
Active 3 days ago·,International Administrative Assistant,https://ca.indeed.com/cmp/A-Bread-Affair?campaignid=mobvjcmp&from=mobviewjob&tk=1hs1p9asdln1u800&fromjk=b47a90924d76c507,"A Bread Affair in Langley, BC","Permanent
Part-time
Full-time",$24–$26 an hour,No experience required,No specific education required
Active 3 days ago·,Office Admin Assistant,https://ca.indeed.com/cmp/A-Bread-Affair?campaignid=mobvjcmp&from=mobviewjob&tk=1hs1p9asdln1u800&fromjk=b47a90924d76c507,"A Bread Affair in Langley, BC","Permanent
Part-time
Full-time",$24–$26 an hour,No experience required,No specific education required
Active 3 days ago·,Receptionist,https://ca.indeed.com/cmp/A-Bread-Affair?campaignid=mobvjcmp&from=mobviewjob&tk=1hs1p9asdln1u800&fromjk=b47a90924d76c507,"A Bread Affair in Langley, BC","Permanent
Part-time
Full-time",$24–$26 an hour,No experience required,No specific education required
Active 3 days ago·,Product Description Writer / Data Entry,https://ca.indeed.com/cmp/A-Bread-Affair?campaignid=mobvjcmp&from=mobviewjob&tk=1hs1p9asdln1u800&fromjk=b47a90924d76c507,"A Bread Affair in Langley, BC","Permanent
Part-time
Full-time",$24–$26 an hour,No experience required,No specific education required
Posted 2 days ago·,Spotlight Cabaret Hiring Box Office Coordinator/Administration Position,https://ca.indeed.com/cmp/A-Bread-Affair?campaignid=mobvjcmp&from=mobviewjob&tk=1hs1p9asdln1u800&fromjk=b47a90924d76c507,"A Bread Affair in Langley, BC","Permanent
Part-time
Full-time",$24–$26 an hour,No experience required,No specific education required
Posted 2 days ago·,Medical Office Assistant,https://ca.indeed.com/cmp/A-Bread-Affair?campaignid=mobvjcmp&from=mobviewjob&tk=1hs1p9asdln1u800&fromjk=b47a90924d76c507,"A Bread Affair in Langley, BC","Permanent
Part-time
Full-time",$24–$26 an hour,No experience required,No specific education required
Active 3 days ago·,Floral Assistant / Admin,https://ca.indeed.com/cmp/Sb-Flower-Wholesale-Company-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hs1pb0f5hslr877&fromjk=3a9278f9368b6ab2,"Calgary, AB","Part-time
Full-time",$18–$21 an hour,Entry level,No specific education required
Posted 3 days ago·,Receptionist - PART-TIME - Berkshire Care Centre,https://ca.indeed.com/cmp/Sb-Flower-Wholesale-Company-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hs1pb0f5hslr877&fromjk=3a9278f9368b6ab2,"Calgary, AB","Part-time
Full-time",$18–$21 an hour,Entry level,No specific education required
Active 4 days ago·,Animal Hospital Receptionist,https://ca.indeed.com/cmp/Sb-Flower-Wholesale-Company-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hs1pb0f5hslr877&fromjk=3a9278f9368b6ab2,"Calgary, AB","Part-time
Full-time",$18–$21 an hour,Entry level,No specific education required
Posted 1 day ago·,Admin / Yoga Instructor,https://ca.indeed.com/cmp/Sb-Flower-Wholesale-Company-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hs1pb0f5hslr877&fromjk=3a9278f9368b6ab2,"Calgary, AB","Part-time
Full-time",$18–$21 an hour,Entry level,No specific education required
Posted 1 day ago·,Office Assistant,https://ca.indeed.com/cmp/Sb-Flower-Wholesale-Company-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hs1pb0f5hslr877&fromjk=3a9278f9368b6ab2,"Calgary, AB","Part-time
Full-time",$18–$21 an hour,Entry level,No specific education required
Active 3 days ago·,Receptionist- Evenings & Weekends,https://ca.indeed.com/cmp/Sb-Flower-Wholesale-Company-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hs1pb0f5hslr877&fromjk=3a9278f9368b6ab2,"Calgary, AB","Part-time
Full-time",$18–$21 an hour,Entry level,No specific education required
Active 4 days ago·,Dental Receptionist,https://ca.indeed.com/cmp/Sb-Flower-Wholesale-Company-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hs1pb0f5hslr877&fromjk=3a9278f9368b6ab2,"Calgary, AB","Part-time
Full-time",$18–$21 an hour,Entry level,No specific education required
Active 3 days ago·,"Human Resources Administrative Assistant, People and Culture",https://ca.indeed.com/cmp/Sb-Flower-Wholesale-Company-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hs1pb0f5hslr877&fromjk=3a9278f9368b6ab2,"Calgary, AB","Part-time
Full-time",$18–$21 an hour,Entry level,No specific education required
Active 3 days ago·,Admin Assistant/Receptionist,https://ca.indeed.com/cmp/Sb-Flower-Wholesale-Company-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hs1pb0f5hslr877&fromjk=3a9278f9368b6ab2,"Calgary, AB","Part-time
Full-time",$18–$21 an hour,Entry level,No specific education required
Active 3 days ago·,Customer Service / Box Office,https://ca.indeed.com/cmp/Sb-Flower-Wholesale-Company-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hs1pb0f5hslr877&fromjk=3a9278f9368b6ab2,"Calgary, AB","Part-time
Full-time",$18–$21 an hour,Entry level,No specific education required
Active 3 days ago·,Beauty Salon Receptionist,https://ca.indeed.com/cmp/Sb-Flower-Wholesale-Company-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hs1pb0f5hslr877&fromjk=3a9278f9368b6ab2,"Calgary, AB","Part-time
Full-time",$18–$21 an hour,Entry level,No specific education required
