Posted At,Job Title,Company Link,Company Location,Job Type,Job Salary,Job Experience Level,Job Education,Job Description
Posted 2 days ago·,Manufacturing Engineer,https://ca.indeed.com/cmp/Miovision-Technologies-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hs3t4hualemp800&fromjk=efe6f944a3eeb551,"Kitchener, ON",Full-time,"$75,000–$85,000 a year","University degree or 3 year College diploma coupled with work experience in a high tech environmentA minimum of 5 years of related experienceWorking experience with PLM systems (Arena an asset)$75,000 - $85,000 CAD (Range may vary on a number of factors including, but not limited to: location, experience and qualifications)",No specific education required
,Manufacturing Engineer,https://ca.indeed.com/cmp/Bridgeview-Manufacturing?campaignid=mobvjcmp&from=mobviewjob&tk=1hs3t4vsl2j2g002&fromjk=6cabfea0b2dea7d1,"Gerald, SK","Permanent
Full-time",$35–$50 an hour,"Our ideal candidate will have management experience in a manufacturing environment, extensive experience with ERP systems, and strong communication skills.Wage is dependent on experience.",
Active 3 days ago·,Manufacturing Engineering Technologist,https://ca.indeed.com/cmp/Nicholson-Manufacturing?campaignid=mobvjcmp&from=mobviewjob&tk=1hs3t5bdrleme800&fromjk=3c9799543a4637cd,"9896 Galaran Road, Sidney, BC","Permanent
Full-time","$68,000–$78,000 a year","Located near Victoria, British Columbia on Vancouver Island, Nicholson Manufacturing Ltd. is a global leader in the design, manufacture and service of ring debarking and log handling equipment for the forestry industry. By choosing Nicholson, our customers benefit from both proven design and innovation. Decades of experience in engineering and manufacturing combine with a continuous improvement culture to bring leading-edge technology to Nicholson’s products and services. Purposely designed and built to perform, Nicholson equipment can be found in wood processing facilities around the world. For more information about Nicholson, visit www.debarking.com.Nicholson has an opening for a permanent, full-time Manufacturing Engineering Technologist at our manufacturing plant in Sidney, British Columbia. The position offers compensation commensurate with education and experience and a comprehensive benefits package.Mechanical Engineering Technology Diploma, Machinist certification, equivalent post-secondary education or a combination of applicable experience and education.Demonstrated ability to create manufacturable mechanical designs and models in 3D CAD software, Autodesk Inventor experience an asset.Previous experience with CNC machining and implementing automated manufacturing processes preferred.","Nicholson has an opening for a permanent, full-time Manufacturing Engineering Technologist at our manufacturing plant in Sidney, British Columbia. The position offers compensation commensurate with education and experience and a comprehensive benefits package.Mechanical Engineering Technology Diploma, Machinist certification, equivalent post-secondary education or a combination of applicable experience and education."
